Field name,Type,Required ?,Nullabel ?,Default value,Index type,Enum,Validation rule,Normalization,Unique ?,Reference to,Referenced schema,Calculated ?,Example value,Sensitive ?,Hashed ?,Indexed ?,Query usage,Immutable,Create,Read,Update,Delete
Account-id,Object ID,TRUE,Not NULL,,Single field,,Strict,1NF,TRUE,,,TRUE,,FALSE,FALSE,TRUE,Search,TRUE,N/A (system),"MEDIUM, HIGH, MASTER",N/A (unchangeable),"HIGH, MASTER"
Account-public-id,String,TRUE,Not NULL,,Single field,,Strict,1NF,TRUE,,,,ACC-0000001,FALSE,FALSE,TRUE,Search,TRUE,N/A (system),"LOW, MEDIUM, HIGH, MASTER",N/A (unchangeable),"HIGH, MASTER"
First-name,String,TRUE,Not NULL,,Text,,Moderate,1NF,FALSE,,,,Jhon,TRUE,FALSE,TRUE,Search,FALSE,UNAUTHENTICATED,"LOW, MEDIUM, HIGH, MASTER","LOW, MEDIUM, HIGH, MASTER","HIGH, MASTER"
Last-name,String,TRUE,Not NULL,,Text,,Moderate,1NF,FALSE,,,,Sminth,TRUE,FALSE,TRUE,Search,FALSE,UNAUTHENTICATED,"LOW, MEDIUM, HIGH, MASTER","LOW, MEDIUM, HIGH, MASTER","HIGH, MASTER"
Email,String,TRUE,Not NULL,,Text,,Strict,3NF,TRUE,,,,myemail@mail.com,TRUE,FALSE,TRUE,Search,FALSE,UNAUTHENTICATED,"LOW, MEDIUM, HIGH, MASTER","LOW, MEDIUM, HIGH, MASTER","HIGH, MASTER"
Cellphone,String,FALSE,Optional,,Text,,Moderate,1NF,TRUE,,,,(XXX) XXX-XXXX,TRUE,FALSE,TRUE,Search,FALSE,UNAUTHENTICATED,"LOW, MEDIUM, HIGH, MASTER","LOW, MEDIUM, HIGH, MASTER","HIGH, MASTER"
Password,String,TRUE,Not NULL,,Hashed,,Strict,3NF,FALSE,,,,,TRUE,TRUE,FALSE,None,FALSE,UNAUTHENTICATED,N/A (system),"LOW, MEDIUM, HIGH, MASTER","HIGH, MASTER"
Account-Status,Int32,FALSE,Optional,2,Single field,account-status.enum.ts,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,FALSE,N/A (calculated),"MEDIUM, HIGH, MASTER","MEDIUM, HIGH, MASTER","HIGH, MASTER"
Acceptance-Term,Boolean,TRUE,Not NULL,,Single field,,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,TRUE,UNAUTHENTICATED,"LOW, MEDIUM, HIGH, MASTER",N/A (unchangeable),"HIGH, MASTER"
Account-group,Int32,TRUE,Not NULL,None,Single field,account-group.enum.ts,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,FALSE,UNAUTHENTICATED,"LOW, MEDIUM, HIGH, MASTER","MEDIUM, HIGH, MASTER","HIGH, MASTER"
Organization,Object ID,TRUE,Not NULL,,Single field,,Strict,1NF,FALSE,Lookup,organization,,,FALSE,FALSE,TRUE,Search,TRUE,N/A (system),"LOW, MEDIUM, HIGH, MASTER",N/A (unchangeable),"HIGH, MASTER"
CreatedAt,Date,TRUE,Not NULL,auto (mongoose timestamps),Single field,,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,FALSE,N/A (unchangeable),"LOW, MEDIUM, HIGH, MASTER",N/A (unchangeable),"HIGH, MASTER"
UpdatedAt,Date,FALSE,Optional,auto (mongoose timestamps),Single field,,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,FALSE,N/A (system),"LOW, MEDIUM, HIGH, MASTER",N/A (system),"HIGH, MASTER"
DeletedAt,Date,FALSE,Optional,,Single field,,Strict,1NF,FALSE,,,,,FALSE,FALSE,FALSE,Filter,FALSE,N/A (system),"MEDIUM, HIGH, MASTER",N/A (system),"HIGH, MASTER"
